"BEST.ZCH1_SOLL";"BEST.ZCH2_SOLL";"BEST.ZCH3_SOLL";"BEST.GESAMT_SOLL";"BEST.ZCH1_IST";"BEST.ZCH2_IST";"BEST.ZCH3_IST";"BEST.GESAMT_IST";"BEST.ZFW";"BEST.ZFW_NEW";"BEST.MIN_REL";"INDEX";"CORRECT_ZFW";"ERR_BEST_ZFW";"CORRECT_T1";"ERR_BEST_T1"
6;2;1;9;2;1;1;4;3,16666666666667;3,19198262038019;0,333;2038;TRUE;NA;TRUE;NA
6;2;1;9;3;1;1;5;2;3,22883994690823;0,5;3052;TRUE;NA;TRUE;NA
6;2;1;9;3;2;1;6;1,5;3,23591591303529;0,5;3946;TRUE;NA;TRUE;NA
6;2;1;9;4;2;1;7;0,666666666666667;3,24299187916235;0,667;5055;TRUE;NA;TRUE;NA
6;2;1;9;5;2;1;8;0,166666666666667;3,24435034168115;0,833;6107;TRUE;NA;TRUE;NA
6;2;1;9;6;2;1;9;0;3,24461114287519;1;7024;TRUE;NA;TRUE;NA
7;1;1;9;0;0;0;0;9;0;0;80;TRUE;NA;TRUE;NA
7;1;1;9;0;0;1;1;8;1;0;166;TRUE;NA;TRUE;NA
7;1;1;9;0;1;1;2;7;2;0;473;TRUE;NA;TRUE;NA
7;1;1;9;1;1;1;3;5,14285714285714;3;0,143;1161;TRUE;NA;TRUE;NA
7;1;1;9;2;1;1;4;3,57142857142857;3,24302618535723;0,286;2037;TRUE;NA;TRUE;NA
7;1;1;9;3;1;1;5;2,28571428571429;3,30208791212652;0,429;3051;TRUE;NA;TRUE;NA
7;1;1;9;4;1;1;6;1,28571428571429;3,31644145828387;0,571;4144;TRUE;NA;TRUE;NA
7;1;1;9;5;1;1;7;0,571428571428571;3,31992974585284;0,714;5242;TRUE;NA;TRUE;NA
7;1;1;9;6;1;1;8;0,142857142857143;3,32077749107416;0,857;6265;TRUE;NA;TRUE;NA
7;1;1;9;7;1;1;9;0;3,32098351536145;1;7142;TRUE;NA;TRUE;NA
4;3;3;10;0;0;0;0;10;0;0;79;TRUE;NA;TRUE;NA
4;3;3;10;0;0;1;1;8,33333333333333;1;0;165;TRUE;NA;TRUE;NA
4;3;3;10;0;1;1;2;6,66666666666667;2;0;472;TRUE;NA;TRUE;NA
4;3;3;10;1;1;1;3;4,91666666666667;3;0,25;1160;TRUE;NA;TRUE;NA
4;3;3;10;2;1;1;4;3,66666666666667;3,08411876203952;0,333;2036;TRUE;NA;TRUE;NA
4;3;3;10;2;1;2;5;2,66666666666667;3,12097608856756;0,333;2775;TRUE;NA;TRUE;NA
4;3;3;10;2;2;2;6;1,66666666666667;3,15783341509561;0,5;3688;TRUE;NA;TRUE;NA
4;3;3;10;3;2;2;7;0,916666666666667;3,16490938122267;0,667;4799;TRUE;NA;TRUE;NA
4;3;3;10;3;2;3;8;0,583333333333333;3,16626784374146;0,667;5681;TRUE;NA;TRUE;NA
4;3;3;10;3;3;3;9;0,25;3,16762630626026;0,75;6558;TRUE;NA;TRUE;NA
4;3;3;10;4;3;3;10;0;3,1682215277711;1;7375;TRUE;NA;TRUE;NA
4;4;2;10;0;0;0;0;10;0;0;78;TRUE;NA;TRUE;NA
4;4;2;10;0;0;1;1;8,5;1;0;164;TRUE;NA;TRUE;NA
4;4;2;10;0;1;1;2;6,75;2;0;471;TRUE;NA;TRUE;NA
4;4;2;10;1;1;1;3;5;3;0,25;1159;TRUE;NA;TRUE;NA
4;4;2;10;1;2;1;4;3,75;3,08411876203952;0,25;1836;TRUE;NA;TRUE;NA
4;4;2;10;2;2;1;5;2,5;3,16823752407904;0,5;2850;TRUE;NA;TRUE;NA
4;4;2;10;2;2;2;6;2;3,17531349020611;0,5;3687;TRUE;NA;TRUE;NA
4;4;2;10;2;3;2;7;1,25;3,18238945633317;0,5;4654;TRUE;NA;TRUE;NA
4;4;2;10;3;3;2;8;0,5;3,18946542246023;0,75;5721;TRUE;NA;TRUE;NA
4;4;2;10;3;4;2;9;0,25;3,19006064397107;0,75;6587;TRUE;NA;TRUE;NA
4;4;2;10;4;4;2;10;0;3,19065586548191;1;7403;TRUE;NA;TRUE;NA
5;3;2;10;0;0;0;0;10;0;0;77;TRUE;NA;TRUE;NA
5;3;2;10;0;0;1;1;8,5;1;0;163;TRUE;NA;TRUE;NA
5;3;2;10;0;1;1;2;6,83333333333333;2;0;470;TRUE;NA;TRUE;NA
5;3;2;10;1;1;1;3;5,03333333333333;3;0,2;1158;TRUE;NA;TRUE;NA
5;3;2;10;2;1;1;4;3,63333333333333;3,13801118920923;0,333;2034;TRUE;NA;TRUE;NA
5;3;2;10;2;2;1;5;2,63333333333333;3,17486851573727;0,4;2849;TRUE;NA;TRUE;NA
5;3;2;10;3;2;1;6;1,63333333333333;3,19391560408421;0,5;3943;TRUE;NA;TRUE;NA
5;3;2;10;3;2;2;7;1,13333333333333;3,20099157021128;0,6;4797;TRUE;NA;TRUE;NA
5;3;2;10;4;2;2;8;0,533333333333333;3,20362028152501;0,667;5863;TRUE;NA;TRUE;NA
5;3;2;10;4;3;2;9;0,2;3,20497874404381;0,8;6684;TRUE;NA;TRUE;NA
5;3;2;10;5;3;2;10;0;3,2053415356183;1;7494;TRUE;NA;TRUE;NA
5;4;1;10;0;0;0;0;10;0;0;76;TRUE;NA;TRUE;NA
5;4;1;10;0;0;1;1;9;1;0;162;TRUE;NA;TRUE;NA
5;4;1;10;0;1;1;2;7,25;2;0;469;TRUE;NA;TRUE;NA
5;4;1;10;1;1;1;3;5,45;3;0,2;1157;TRUE;NA;TRUE;NA
5;4;1;10;2;1;1;4;4,05;3,13801118920923;0,25;2033;TRUE;NA;TRUE;NA
5;4;1;10;2;2;1;5;2,8;3,22212995124875;0,4;2848;TRUE;NA;TRUE;NA
5;4;1;10;3;2;1;6;1,8;3,24117703959569;0,5;3942;TRUE;NA;TRUE;NA
5;4;1;10;3;3;1;7;1,05;3,24825300572276;0,6;4860;TRUE;NA;TRUE;NA
5;4;1;10;4;3;1;8;0,45;3,25088171703649;0,75;5925;TRUE;NA;TRUE;NA
5;4;1;10;4;4;1;9;0,2;3,25147693854733;0,8;6729;TRUE;NA;TRUE;NA
5;4;1;10;5;4;1;10;0;3,25183973012183;1;7534;TRUE;NA;TRUE;NA
6;2;2;10;0;0;0;0;10;0;0;75;TRUE;NA;TRUE;NA
6;2;2;10;0;0;1;1;8,5;1;0;161;TRUE;NA;TRUE;NA
6;2;2;10;0;1;1;2;7;2;0;468;TRUE;NA;TRUE;NA
6;2;2;10;1;1;1;3;5,16666666666667;3;0,167;1156;TRUE;NA;TRUE;NA
6;2;2;10;2;1;1;4;3,66666666666667;3,19198262038019;0,333;2032;TRUE;NA;TRUE;NA
6;2;2;10;3;1;1;5;2,5;3,22883994690823;0,5;3046;TRUE;NA;TRUE;NA
6;2;2;10;3;1;2;6;2;3,23591591303529;0,5;3866;TRUE;NA;TRUE;NA
6;2;2;10;3;2;2;7;1,5;3,24299187916235;0,5;4796;TRUE;NA;TRUE;NA
6;2;2;10;4;2;2;8;0,666666666666667;3,25006784528941;0,667;5862;TRUE;NA;TRUE;NA
6;2;2;10;5;2;2;9;0,166666666666667;3,25142630780821;0,833;6819;TRUE;NA;TRUE;NA
6;2;2;10;6;2;2;10;0;3,25168710900226;1;7605;TRUE;NA;TRUE;NA
6;3;1;10;0;0;0;0;10;0;0;74;TRUE;NA;TRUE;NA
6;3;1;10;0;0;1;1;9;1;0;160;TRUE;NA;TRUE;NA
6;3;1;10;0;1;1;2;7,33333333333333;2;0;467;TRUE;NA;TRUE;NA
6;3;1;10;1;1;1;3;5,5;3;0,167;1155;TRUE;NA;TRUE;NA
6;3;1;10;2;1;1;4;4;3,19198262038019;0,333;2031;TRUE;NA;TRUE;NA
6;3;1;10;2;2;1;5;3;3,22883994690823;0,333;2846;TRUE;NA;TRUE;NA
6;3;1;10;3;2;1;6;1,83333333333333;3,26569727343627;0,5;3940;TRUE;NA;TRUE;NA
6;3;1;10;4;2;1;7;1;3,27277323956333;0,667;5049;TRUE;NA;TRUE;NA
6;3;1;10;5;2;1;8;0,5;3,27413170208213;0,667;6103;TRUE;NA;TRUE;NA
6;3;1;10;5;3;1;9;0,166666666666667;3,27549016460092;0,833;6876;TRUE;NA;TRUE;NA
6;3;1;10;6;3;1;10;0;3,27575096579497;1;7651;TRUE;NA;TRUE;NA
7;2;1;10;0;0;0;0;10;0;0;73;TRUE;NA;TRUE;NA
7;2;1;10;0;0;1;1;9;1;0;159;TRUE;NA;TRUE;NA
7;2;1;10;0;1;1;2;7,5;2;0;466;TRUE;NA;TRUE;NA
7;2;1;10;1;1;1;3;5,64285714285714;3;0,143;1154;TRUE;NA;TRUE;NA
7;2;1;10;2;1;1;4;4,07142857142857;3,24302618535723;0,286;2030;TRUE;NA;TRUE;NA
7;2;1;10;3;1;1;5;2,78571428571429;3,30208791212652;0,429;3044;TRUE;NA;TRUE;NA
7;2;1;10;4;1;1;6;1,78571428571429;3,31644145828387;0,5;4137;TRUE;NA;TRUE;NA
7;2;1;10;4;2;1;7;1,28571428571429;3,32351742441093;0,571;5048;TRUE;NA;TRUE;NA
7;2;1;10;5;2;1;8;0,571428571428571;3,3270057119799;0,714;6102;TRUE;NA;TRUE;NA
7;2;1;10;6;2;1;9;0,142857142857143;3,32785345720122;0,857;7021;TRUE;NA;TRUE;NA
7;2;1;10;7;2;1;10;0;3,32805948148851;1;7754;TRUE;NA;TRUE;NA
8;1;1;10;0;0;0;0;10;0;0;72;TRUE;NA;TRUE;NA
8;1;1;10;0;0;1;1;9;1;0;158;TRUE;NA;TRUE;NA
8;1;1;10;0;1;1;2;8;2;0;465;TRUE;NA;TRUE;NA
8;1;1;10;1;1;1;3;6,125;3;0,125;1153;TRUE;NA;TRUE;NA
8;1;1;10;2;1;1;4;4,5;3,29003234654004;0,25;2029;TRUE;NA;TRUE;NA
