

Trasse Z1473 / 50270/3   

KT(50.1) 50270hü   (HEBG(Ein)-HLERW)   Letzte Änd. 30.11.2017 09:03 hrk19

Trasse;Zuggattung;TFZ - Standard;TFZ - Abschnittswirkend;Wagen;Wagenzuglänge;Gesamtlänge;Wagenzugmasse;Grenzlast;Gesamtmasse;V Wagenzug;V Konstruktion;Max. V;LZB-fähig;ETCS-Zugausrüstung;Bremsstellung;Bremshundertstel;Neigetechnik;LÜ-Charakteristik;LÜ-Abschnitt;LÜ-Text;Bef.Bes.;Sperrfahrt;Abweich. HV-Vmax;Anteil Regelzuschlag;CLuft;CLager;Verkehrt;Zugkl.;Rel. Halteplatzart;Kommentar
Z1473 / 50270/3;KT 50.1;80 6152-3 (ES 64 F (6,4MW)) (Zuglok, vorne);;0;700,0 m;719,0 m;1475,0 t;J;1562,0 t;120 km/h;;120 km/h;J;;P;78;;;;;HK  SKL-GEFORDERT;N;;100 %;0,050;1,4;10.12.17 - 04.02.18 Mi (016 00);FGz;G;NROB - AWHOO|Z1473 DB Cargo|P/C 70 P/C 400|SK D4|

Btrst.;Btrst.(lang);Halt mind.;Ankunft;ZuHalt;Halt;ZuHalt;Abfahrt;ZLB;Endpunkt;Zuschlag Schlepp.;Zuschlag;Bauzuschlag;Fahrweg
Einbruch in HEBG über 3600-1, Wunschabfahrt um 19:59.0 Uhr in HEBG
HEBG;Eichenberg;;;;;;19:59.0;;3600-1;00:00.0;;;FB-4-HG H1
HEBGN;Eichenberg Nordk;;;;;;19:59.8;;3600-1;00:00.0;0.2 / 14,5%;[;HEBG-HG
H03EF;Sbk3;;;;;;20:01.8;;3600-1;00:00.3;0.2 / 14,5%;;HEBG-HG
HFRI;Friedland (Han);;;;;;20:03.7;;3600-1;00:00.6;0.4 / 14,5%;0.1;HEBG-2-HOBJ
HOBJ;Obernjesa;;;;;;20:06.9;;3600-1;00:01.1;0.4 / 14,5%;0.1;HEBG-2-HG
HRDF;Rosdorf;;;;;;20:10.5;;3600-1;00:01.6;0.2 / 14,6%;;HEBG-2-HG
HGRN;Grone;;;;;;20:11.9;;3600-1;00:01.8;0.1 / 3,9%;];HEBG-HG(3600)
HG;Göttingen;;;;;;20:13.6;;1732-7;00:01.9;;;HEBG-4-HG  G(1732-7)
