

Trasse L1264 / 3907/1   

RE-G(40.1) 3907-101Dk   (UE  P-UG)   Letzte Änd. 30.06.2017 09:19 LLR092

Trasse;Zuggattung;TFZ - Standard;TFZ - Abschnittswirkend;Wagen;Wagenzuglänge;Gesamtlänge;Wagenzugmasse;Grenzlast;Gesamtmasse;V Wagenzug;V Konstruktion;Max. V;LZB-fähig;ETCS-Zugausrüstung;Bremsstellung;Bremshundertstel;Neigetechnik;LÜ-Charakteristik;LÜ-Abschnitt;LÜ-Text;Bef.Bes.;Sperrfahrt;Abweich. HV-Vmax;Anteil Regelzuschlag;CLuft;CLager;Verkehrt;Zugkl.;Rel. Halteplatzart;Kommentar
L1264 / 3907/1;RE-G 40.1;"612-5 (3x (2tlg; 1120kW, NT)) (Zuglok, vorne)";;0;0,0 m;156,0 m;0,0 t;N;327,0 t;160 km/h;160 km/h;160 km/h;N;;R+Mg;211;aktive Neigetechnik;;;;;N;;100 %;;;01.05.18 - 08.12.18 täglich (127 00);NRz;R;UE - LA|RE 3   Erfurt Hbf - Altenburg

Btrst.;Btrst.(lang);Halt mind.;Ankunft;ZuHalt;Halt;ZuHalt;Abfahrt;ZLB;Endpunkt;Zuschlag Schlepp.;Zuschlag;Bauzuschlag;Fahrweg
L1264 / 3907/1;RE-G 40.1;"612-4 (2x (2tlg; 1120kW, NT)) (Zuglok, vorne)";;0;0,0 m;104,0 m;0,0 t;N;218,0 t;160 km/h;160 km/h;160 km/h;N;;R+Mg;211;aktive Neigetechnik;;;;SKL-GEFORDERT;N;;100 %;;;01.05.18 - 08.12.18 täglich (127 00);NRz;R;UE - LA|RE 3

Btrst.;Btrst.(lang);Halt mind.;Ankunft;ZuHalt;Halt;ZuHalt;Abfahrt;ZLB;Endpunkt;Zuschlag Schlepp.;Zuschlag;Bauzuschlag;Fahrweg
Wunschabfahrt um 12:06.2 Uhr in UG
UG;Gera Hbf;00:02.0;(11:53.6);;00:05.0;;11:58.6;;6383-2;00:00.0;;;UGG(Gl10)-2-UGDE RG
UGS;Gera Süd;00:00.8;12:00.4;;00:00.8;;12:01.2;;6383-2;-00:00.0;;;UG-UGDE G
UGZ D;Gera-Debschwitz;;;;;;12:02.2;;6268-0;-00:00.0;0.2 / 3,5%;;UG-DGZ GR
DRON;Ronneburg (Thür);00:00.8;12:07.8;;00:00.8;;12:08.6;;6268-0;00:00.2;;[0.3;UGS-2-DRH
DRH;Raitzhain;;;;;;12:10.5;;6268-0;00:00.5;;];UG-DSAA
DNB;Nöbdenitz;;;;;;12:13.9;;6268-0;00:00.5;;;DRH-2-DSAA
DSM;Schmölln (Thür);00:00.8;12:17.5;;00:00.8;;12:18.3;;6268-0;00:00.5;;;DRH-1-DSAA Hlang
D4102;Sbk 4102 (DSM);;;;;;12:20.6;;6268-0;00:00.5;;;DRH-DSAA
DSAA;Saara;;;;;;12:22.6;;6266-0;00:00.5;;[0.3;DRH-DLH
DLH;Lehndorf;00:00.5;12:25.1;;00:00.5;;12:25.6;;6362-2;00:00.8;;];UG-LA
LPD;Paditz;;;;;;12:28.3;;6362-2;00:00.8;0.5 / 12,1%;[0.2;DLH-LA
LA;Altenburg;00:01.0;12:33.1;;00:05.5;;(12:38.6);;6362-2;00:01.5;;];DLH-4-LNK
