

DGS(70.1) 69558-300Hi   (LSW(Ein)-DGL)   Letzte Änd. 23.11.2017 16:24 LLR029

Trasse;Zuggattung;TFZ - Standard;TFZ - Abschnittswirkend;Wagen;Wagenzuglänge;Gesamtlänge;Wagenzugmasse;Grenzlast;Gesamtmasse;V Wagenzug;V Konstruktion;Max. V;LZB-fähig;ETCS-Zugausrüstung;Bremsstellung;Bremshundertstel;Neigetechnik;LÜ-Charakteristik;LÜ-Abschnitt;LÜ-Text;Bef.Bes.;Sperrfahrt;Abweich. HV-Vmax;Anteil Regelzuschlag;CLuft;CLager;Verkehrt;Zugkl.;Rel. Halteplatzart;Kommentar
H6317 / Ä69558/2;DGS 70.1;151-1 (Reisezug/Güterzug (6,0MW)) (Zuglok, vorne);;0;610,0 m;629,5 m;1600,0 t;N;1718,0 t;100 km/h;;100 km/h;J;;P;68;;;;;HKP/C70 P/C400  SKL-GEFORDERT  LADEGUT  RM;N;;100 %;0,050;1,4;30.09.18 - 08.12.18 Sa (002 00);NGz;G;"AWHOD - DGL|Dradenau - LSW - Glauchau|H6317 -- HSL Logistik|KV P/C 70 P/C 400|Sk D4, LZB|alt: 69488;;;|NÄ zum 01.05.18 ausgelöst wg. Zs-Teilung||"

Btrst.;Btrst.(lang);Halt mind.;Ankunft;ZuHalt;Halt;ZuHalt;Abfahrt;ZLB;Endpunkt;Zuschlag Schlepp.;Zuschlag;Bauzuschlag;Fahrweg
Einbruch in LSW über 6899-0, Wunschabfahrt um 1/01:19.6 Uhr in LSW
L3227;Sbk 3227 (LBZ);;;;;;;;6110-2;;;;LM-LBZ
L3229;Sbk 3229 (LBZ);;;;;;;;6110-2;;;;LM-LBZ
LBZ;Biederitz;;;;;;1/03:19.8;;6410-1;00:02.3;0.7 / 21,8%;;LM-11-LROD
LKB;Königsborn;;;;;;1/03:23.6;;6410-1;00:03.0;0.7 / 29,3%;;LBZ-2-LROD
LWH;Wahlitz;;;;;;1/03:26.5;;6410-1;00:03.7;0.3 / 9,0%;;LBZ-LROD
LGO;Gommern;;;;;;1/03:30.1;;6410-1;00:04.0;0.4 / 8,8%;;LBZ-1-LROD
LPRL;Prödel;;;;;;1/03:34.5;;6410-1;00:04.3;0.1 / 8,8%;;LBZ-LROD
LLBS;Lübs (b Magdeb);;;;;;1/03:36.2;;6410-1;00:04.5;0.2 / 8,8%;;LBZ-LROD
LGK N;Güterglück Gkn;;;;;;1/03:38.9;;6410-1;00:04.7;;;LBZ-1-LGK(11)
LGK;Güterglück;;;;;;1/03:39.4;;6410-1;00:04.7;0.3 / 8,8%;;LBZ-11-LROD
LTNZ;Trebnitz Strw;;;;;;;;6411-1;;;;LBZ-LROD
L2013;Sbk 2013 (LGK);;;;;;1/03:43.2;;6411-1;00:05.0;0.2 / 8,8%;;LBZ-LROD
L2014;Sbk 2014 (LGK);;;;;;;;6411-1;;;;LBZ-LROD
L2016;Sbk 2016 (LGK);;;;;;;;6411-1;;;;LBZ-LROD
L2015;Sbk 2015 (LGK);;;;;;1/03:45.3;;6411-1;00:05.2;;;LBZ-LROD
LZE;Zerbst/Anhalt;;;;;;1/03:45.7;;6411-1;00:05.2;0.1 / 8,8%;;LBZ-LROD
L2017;Sbk 2017 (LGK);;;;;;;;6411-1;;;;LBZ-LROD
L2019;Sbk 2019 (LGK);;;;;;1/03:47.0;;6411-1;00:05.3;0.3 / 8,8%;;LBZ-LROD
L2020;Sbk 2020 (LGK);;;;;;;;6411-1;;;;LBZ-LROD
L2018;Sbk 2018 (LGK);;;;;;;;6411-1;;;;LBZ-LROD
L2024;Sbk 2024 (LGK);;;;;;;;6411-1;;;;LBZ-LROD
L2023;Sbk 2023 (LGK);;;;;;1/03:50.3;;6411-1;00:05.6;0.3 / 8,8%;;LBZ-LROD
LROD;Rodleben;;;;;;1/03:53.7;;6411-1;00:05.9;0.1 / 8,8%;;LBZ-12-LR(22)
LR;Roßlau (Elbe);;;;;;1/03:55.3;;6411-1;00:06.0;0.3 / 31,3%;;LROD(22)-2-LD
L2627;Sbk 2627 (LD);;;;;;1/03:56.5;;6411-1;00:06.3;0.2 / 31,3%;;LR-LD
L2625;Sbk 2625 (LD);;;;;;;;6411-1;;;;LR-LD
L2626;Sbk 2626 (LD);;;;;;;;6411-1;;;;LR-LD
L2628;Sbk 2628 (LD);;;;;;;;6411-1;;;;LR-LD
L2631;Sbk 2631 (LD);;;;;;1/03:57.4;;6411-1;00:06.5;0.7 / 33,9%;;LR-LD
L2629;Sbk 2629 (LD);;;;;;;;6411-1;;;;LR-LD
L2630;Sbk 2630 (LD);;;;;;;;6411-1;;;;LR-LD
L2632;Sbk 2632 (LD);;;;;;;;6411-1;;;;LR-LD
LD  G;Dessau Gbf;;1/04:00.0;;+00:02.0;;1/04:02.0;;6411-1;00:07.2;;;LR-13-LD
LD;Dessau Hbf;;;;;;1/04:03.8;;6411-1;00:07.2;;;LR-3-LBT
LDS;Dessau Süd;;;;;;1/04:07.3;;6411-1;00:07.2;;;LD-LBT
L2635;Sbk 2635 (LD);;;;;;1/04:07.5;;6411-1;00:07.2;;;LD-LBT
L2636;Sbk 2636 (LD);;;;;;;;6411-1;;;;LD-LBT
L2741;Sbk 2741 (LD);;;;;;1/04:11.2;;6411-1;00:07.1;;;LD-LBT
L2742;Sbk 2742 (LD);;;;;;;;6411-1;;;;LD-LBT
LMAR;Marke;;;;;;1/04:11.6;;6411-1;00:07.1;;;LD-LBT
LRH;Raguhn;;;;;;1/04:13.8;;6411-1;00:07.1;;;LD-LBT
LRHU;Raguhn Üst;;;;;;1/04:14.1;;6411-1;00:07.1;;;LD-LBT
LJZ;Jeßnitz (Anh);;;;;;1/04:16.0;;6411-1;00:07.1;;;LD-LBT
LWO;Wolfen (Kr Bitt);;;;;;1/04:18.0;;6411-1;00:07.1;0.1 / 5,3%;;LD-1-LBT
L2853;Sbk 2853 (LWO);;;;;;1/04:19.4;;6411-1;00:07.2;;;LWO-LBT
L2851;Sbk 2851 (LWO);;;;;;;;6411-1;;;;LWO-LBT
LGPN;Greppin;;;;;;1/04:19.5;;6411-1;00:07.2;0.4 / 11,1%;;LD-LBT
LBT;Bitterfeld;00:05.0;1/04:23.5;;00:10.0;;1/04:33.5;;6411-1;00:07.6;0.2 / 5,2%;;LD-45/5/3-LDL
LBTS;Holzweißig;;;;;;1/04:38.0;;6411-1;00:07.8;0.3 / 21,1%;;LBT-1-LDL
L7088;Sbk 7088 (LBT);;;;;;;;6411-1;;;;LBT-LDL
LPRO;Petersroda;;;;;;1/04:39.8;;6411-1;00:08.2;;;LBT-LDL
L7091;Sbk 7091 (LBT);;;;;;1/04:39.8;;6411-1;00:08.2;0.3 / 22,3%;;LBT-LDL
LQPR;Petersroda ST/SN;;;;;;;;6411-1;;;;LBT-LDL
L7692;Sbk 7692 (LDL);;;;;;;;6411-1;;;;LBT-LDL
L7695;Sbk 7695 (LDL);;;;;;1/04:41.3;;6411-1;00:08.4;0.3 / 22,5%;;LBT-LDL
L7699;Sbk 7699 (LDL);;;;;;1/04:43.0;;6411-1;00:08.8;0.4 / 22,4%;;LBT-LDL
L7696;Sbk 7696 (LDL);;;;;;;;6411-1;;;;LBT-LDL
LDL;Delitzsch unt Bf;;;;;;1/04:45.0;;6411-1;00:09.1;0.1 / 11,1%;;LBT-1/41-LAH(61)
LAH;Delitzsch uBf Ah;;;;;;1/04:46.0;;6411-1;00:09.2;0.1 / 4,9%;;LDL-61-LL
L7793;Sbk 7793 (LDL);;;;;;1/04:47.3;;6411-1;00:09.3;;;LAH-LRK
L7790;Sbk 7790 (LDL);;;;;;;;6411-1;;;;LAH-LRK
LZS;Zschortau;;;;;;1/04:48.2;;6411-1;00:09.3;;;LAH-LRK
L7897;Sbk 7897 (LRK);;;;;;1/04:48.7;;6411-1;00:09.3;0.1 / 4,9%;;LAH-LRK
L7894;Sbk 7894 (LRK);;;;;;;;6411-1;;;;LDL-LNW
LRK;Rackwitz (b Lpz);;;;;;1/04:51.4;;6411-1;00:09.5;0.1 / 4,9%;;LDL-1-LNW
L7873;Sbk 7873 (LRK);;;;;;1/04:52.7;;6411-1;00:09.5;0.1 / 4,9%;;LRK-LNW
L7872;Sbk 7872 (LRK);;;;;;;;6411-1;;;;LRK-LNWN
LNW N;Lpz Messe Nord;;;;;;1/04:54.0;;6370-0;00:09.6;;;LBT-11-LWI
LWI;Wiederitzsch;;;;;;1/05:00.6;;6369-2;00:09.6;;;LNW-24-LLEL
YLLWI;Wiederitzs Strw;;;;;;;;6381-2;;;;LWI-LLEL
LLW V;Wahrener Viadukt;;;;;;1/05:04.8;;6380-2;00:09.6;;;LWI-202-LLEL
LLEL;Leipzig-Leutzsch;;;;;;1/05:07.5;;6383-1;00:09.6;;;LLW-4-LLP
LLIN;Lindenau;;;;;;1/05:09.5;;6383-1;00:09.6;;;LLEL-12-LLP(2)
LLP;Leipzig-Plagwitz;;;;;;1/05:10.0;;6383-1;00:09.6;;;LLEL(12)-2-LLPG(22)
LLP G;Lpz-Plagwitz Gbf;;1/05:11.5;;+00:07.5;;1/05:19.0;;6379-0;00:09.6;;;LLP(2)-22-LGW
